სახელი,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
კან  ელიას,,,,1,,,,,,
კანან,4,3,,4,3,,,,,
კანდაბ,,,,,1,,,,,
კანდაფ,2,,1,,,,1,1,2,
კანირა,2,,1,,,,,,,
კარა,,3,1,1,1,,1,,2,
კარათელ,,,,,,1,,,,1
კარაი,,1,,,,,,,,
კარაკზ,,,,,,,,,1,
კარალინა,1,2,1,1,,,,1,,1
კარამ,,,,1,,,,,1,
კარაპეტ,6,1,1,2,3,4,3,4,2,2
კარახან,,1,1,,,1,,,,
კარაჯა,1,,,,,,,,,
კარდაშ,,,,1,,,,,,
კარდაშხან,,,,,,,,,1,1
კარეემ ომარ,,,,,,,,,,1
კარელინა,,,,,,,,,,1
კარემ,,,,,,1,,,,
კარენ,11,16,12,12,1,6,6,5,8,12
კარენა,,,1,,,,,,,
კარენი,,,,1,,1,,,,
კარიბ,,,,1,,,,1,,
კარიბა,,,,,,,1,,,
კარიმ,,,1,,2,1,,1,,1
კარინ,,1,,,,,,,,1
კარინა,16,11,10,10,10,12,11,9,10,12
კარინე,10,6,8,7,7,6,7,7,4,3
კარლ,,,,,,1,,,,1
კარლა,,,,,,1,,,,
კარლენ,,,2,,,1,2,2,3,1
კარლო,3,5,3,3,3,4,4,2,1,1
კარლოს,2,,,,,,,,,
კარმელინა,,,,1,,,,,,
კარმელიტა,,,1,,,,,,,
კარმელლა,,,,,,,,,1,
კარმენ,,,,,,1,,,,
კარო,,,1,,1,,,,,1
კაროლინა,1,,3,,1,3,4,5,2,4
კაროლინე რამსინგ,,,,,,,,1,,
კარუშ,1,,,,,,,,,
კასან,,,,,,,,1,,
კასანდრა,,,,,,,,,,1
კასიანა,,,,,1,,1,,,1
კასიმ,,,,,1,,,,,
კასპერ მაქს,,,,,,,,,,1
კასრა,,,,,,,,,,1
კასუმ,,,,1,2,,,,,1
კატალეა,,,,,1,,,,1,1
კატალია,,,,,,,,,1,2
კატალინა,,1,,,2,,,1,,5
კატარინა,,,,,,,1,,,
კატარინი,,,,,,1,,,,
კატერინა,2,2,1,4,4,3,10,16,13,19
კატერინა ჩისომ,,,,,,,1,,,
კატერინე ბერნეისე,,,,,,,,,,1
კატია,4,3,,,1,,1,3,1,2
კატინა,,,,,,,,,,1
კატიცა,,,,,,,,,,1
კატო,23,23,31,52,81,124,143,140,209,199
კატო ეკატერინე,,,,,,,,,1,
კატო მარია,2,,,,,,,,,
კატო–ეკატერინე,,,,,,,,,,1
კატო-თამარი,,,,,1,,,,,
კატო–კესარია,,,1,,,,,,,
კატრინ,,,,,,,1,,,1
კატრინა,,,,1,,,1,,,1
კაჩია,,,,1,,,,,,
კაცტან,,,,,,,1,,,
კახა,29,50,23,21,33,22,30,31,22,16
კახაბერ,12,26,14,13,14,15,15,6,11,12
კახაბერი,6,10,1,7,2,6,9,8,4,8
კახაბერი კახი,,,1,,,,,,,
კახი,22,23,24,21,14,21,22,25,18,28
კახრამან,1,,,1,,1,1,,,
კაჯიკ,,,,,,,,1,,
კაჰინა,,,,1,,,,,,
კაჰლიკ,,,1,,,,,,,
კეიკო,,,,,,,,,1,
კეკე,,1,2,,,1,,2,,2
კელი,1,,,,,,1,,,
კელლი,,,,,1,,,,1,
კემალ,,1,,,,,,,,1
კენან,,,,,1,,,,,1
კენგ იუ,,,1,,,,,,,
კენდეისი,,,1,,,,,,,
კენირე,,,,,,,,,1,
კენიტ,,,,,,,1,,,
კენო,1,,,,,,,,,
კენტა,,,,,,,,,,1
კენულ,,,,,1,,,,,
კერენ ლანეტ ადორა,,,,1,,,,,,
კესა,1,2,,1,,,,,,1
კესანგ,,,,,,1,,,,
კესანე,6,8,4,6,2,7,7,9,15,28
კესანე-კესო,,,1,,,,,,,
კესანი,,,,,,,1,,,
კესანო,,,,,,,,,1,
კესარე,,,1,,,,,,,
კესარია,68,121,99,84,76,34,47,17,10,12
კესი,,,,,2,,,,,
კესო,122,152,60,64,58,54,50,21,33,25
კესო მარია,,,,1,,,,,,
კეტრინ,1,,,,1,,,1,,
კეშაავ ნიტეშ,,,,,,,,,,1
კვდრადშობილი,,,,,,,,,,1
კვირიკე,3,3,,3,1,1,2,3,6,3
კია,,,1,,,,,,,
კიაზ,,,,,,1,,,,
კიაზო,1,,,,,,,,,
კიამადინ,,,,,,1,,,,
კიან,,,,,,,,,1,
კიან რაიან,,,,,,,,,1,
კიარამ,,,,,1,,,,,
კიას,,1,,1,,,,,,
კიაფათ,,,2,,,,,,,
კიზ იეთარ,,,,,,,,1,,
კიზბას,1,1,,,,,,,,
კიზეთარ,,,,,,1,,,,
კიზილგულ,,,,,,,,,1,
კიიმათ ანა,,,,,,,,,,1
კიკა,,,,1,,,,,,
კიკუშ,,1,,,,,,,,
კილა,,,,1,,,,,,
კილინჩ,,,,,,,,,1,
კიმ,1,,1,2,1,,1,,1,2
კიმა,2,,,,,,,,1,
კიმათ,,,,,1,1,1,,,
კიმი,,,,,,,,,1,
კიმიკ,2,3,,,,,1,1,2,
კიმო,1,,,,,,1,,,
კინჩო,,,,1,,,,,,
კირა,2,5,,3,5,6,8,14,19,27
კირაკოს,,,,,,1,,,,
კირენა,1,,,,,,,,,
კირიაკი,1,,,,,1,,,,
კირიაკი ლივია,,,,,,,,,,1
კირილ,,,1,,,,,,,
კირილე,1,2,1,,,1,1,3,1,2
კირილლ,1,,1,2,,2,,2,1,2
კირიმა,1,,,,,,,,,
კირიონ,,,,,,,,,,1
კიტა,,,1,1,,,2,,2,
კიურეღ,,,,,,1,,,,
კიფაიათ,1,,,,,,,,,
კიფაიატ,,1,1,,,,1,2,,
კიწი,,1,,,,,,,1,
კლავდია,1,2,,,,1,,,,
კლავუდია,,,1,,,,,,,
კლარა,1,1,1,3,1,,,1,,3
კლარა ბარბარე,,,1,,,,,,,
კლარიტა,,,,,,,,,,1
კლაუდია,,,1,,,,,,,
კლეოპატრა,,,,,,,,,1,
კლიმენტ,,,1,,,,,,,1
კლიმენტი,,,1,,,1,1,1,,
კნარიკ,,1,,2,,,,,,
კნიაზ,1,1,,,1,1,1,1,1,
კობა,43,35,26,20,19,21,19,21,12,13
კობა იოანე,,,,,,,,,,1
კობი,,,,,,1,,,,1
კოვჰარ,,,,,,1,,,,
კოვჰერ,,,,1,,,,,,
კოზალ,,,1,,,,,,,
კოზელ,,,,,,1,,,,
კოზმა,,,,,,,,,,1
კოირუნ,,,2,,,,,,1,
კოიუშხან,,,,,,,,,,1
კოიცაქ,,,1,,,,,,,
კოკა,12,9,5,8,6,2,4,1,1,4
კოკი,,,1,,,1,,,,
კოლაუ,1,,,,,,,,,
კოლია,,3,3,2,,,1,1,1,
კონრად,,,,,,,,1,,
კონსტანტინ,1,1,2,3,,1,,1,5,4
კონსტანტინე,76,80,59,66,59,72,75,57,53,54
კონსტანტინე  მიმა,,,,,,,,,,1
კონსტანტინე ვაჟა,,,,,,,,,1,
კონსტანტინე კახი,,,,,,,,,1,
კონსტანტინე მუშნი,,,,,,,,1,,
კონსტანტინე ნესტა,,,,,,,,,,1
კონსტანტინე უტა,,,1,,,,,,2,
კონსტანტინო,,,1,,,,,,,
კონსტანტინოს,,1,,,,,,,,1
კონსტანცა,,,,,,1,,,,
კონულ,,,,,,,1,,1,
კონურ,,,,1,,,,,,
კორენ,,,,,,,,,,1
კორიუნ,,,,1,,1,,,,
კორნელ სანდორ,,,,,,,,,1,
კორნელი,,2,1,1,,,2,,1,
კორხმან,,,1,,,,,,,
კოსტა,,,,1,,,,1,,
კოსტანტინე,,,1,1,,1,,,,
კოსტას,,,,,1,,,,,
კოსტია,,,,,1,,,,,
კოტე,5,3,6,5,9,6,3,2,5,4
კოტედანიელ,,,,,,,1,,,
კოტიკო,,,,,,,2,,,
კოტრინა,,,,,,,,,,1
კოშკარ,1,,,,,,,,,
კოცა,,,,,1,,,,,
კოხტა,,,1,,,,,1,,
კოჯა,,,,,,,,1,,
კრავაი,,,,,,,,,,1
კრისტი,1,2,2,2,2,1,1,2,3,2
კრისტიან,,,,,,,,1,1,1
კრისტიან ალექსანდრე,,1,,,,,,,,
კრისტიან ნიკოლოზ,,,,,,,,1,,
კრისტიანა,,,,,,,,,1,
კრისტიანო,,,,,,1,,,,
კრისტინა,4,6,7,7,6,2,10,4,4,4
კრისტინა ნგოზი,,,,,,,1,,,
კრისტინე,,,1,2,2,1,,,,
კრისწინა,,1,,,,,,1,,
კროლა,,,,,,,1,,,
კს,1,,,,,,,,,
კსენია,,,,,,,,,1,
კუბრა,,,,,,,,,1,
კუდრათ,,,1,,,,,1,,
კუდრატ,,,1,,1,1,,,,
კუზეი,,,,,,,,,,1
კუზეი ლუკას,,,,,,,,,,1
კუკა,,,,1,,,,,,
კუკური,2,,,,,,,,,
კუკუშა,,,1,,,,,,,
კულაბატინ,,,,1,,,,,,
კულავათუნ,,,,,,1,,,,
კულაი,,1,2,,,,,,,
კულასარ,,,1,,,,,,,
კულასკარ,,,1,,,,,,,
კულბაიაზ,,1,,,,,,,,
კულთან,,,,,,1,,,,
კულიხან,,,,,,,,,,1
კულკუნ,,,,1,,,,,,
კულნურ,,,,,,,,,1,
კულუ,,1,1,,,,,,,1
კულჰაბა,,,,1,,,,,,
კუნაი,1,,1,,,,,,,
კუნელ,,1,,,,,1,,,
კურბან,2,6,1,2,4,2,1,3,4,3
კუსთაფა,,1,,,,,,,,
კუტტ კაარელ,1,,,,,,,,,
ლაალე,1,,,1,,,,,,
ლაბაზა,,,,,,,,,,1
ლაბბუ ანდრე,,,,,,,,,1,
ლაბია,,,,,,,,,,1
ლადა,,1,,,,,,,,1
ლადა ანი,,,,1,,,,,,
ლადი,2,,1,2,,,1,1,1,
ლადიკო,1,1,,,2,1,,1,,
ლადო,45,32,28,27,23,22,33,23,16,12
ლადუკა,,,1,,,,1,,,
ლადუშა,,,,,1,,,,,
ლავი,,,,,,,,,,1
ლავიე,,,,,,,,,,1
ლავინ,,,,,1,,,,,1
ლავინ ანასტასია,,,1,,,,,,,
ლავინია,,,,,,,,,1,
ლავლინ კორ,,,,,,1,,,,
ლავრენდი,,,1,,,,,,,
ლავრენტ,,2,1,2,,2,,,1,
ლავრენტი,2,,,1,3,,1,2,,1
ლავრენტიოს,,,,1,,,,,,
ლავროსი,,,,,,,1,,,
ლაზარ,1,,,,,,,,,
ლაზარე,92,125,161,208,286,307,383,413,523,511
ლაზარე   იოზეფ,,,,1,,,,,,
ლაზარე ბარან,,,,,,,1,,,
ლაზარე ერდემი,,,,,1,,,,,
ლაზარე ცოტნე,,,,,,,,1,,
ლაზმ,,,,,1,,,,,
ლაზო,,,,,1,,,,,
ლათეიბა,,,,,,,,,,1
ლათიბ,,,1,,,,,,2,
ლათიბა,,1,,1,,,,,1,
ლათიფ,,,2,3,1,2,2,,,
ლათიფა,1,,,,,,1,,,
ლაია,,,,,,1,,,1,
ლაიალა,,,,,,,1,,,
ლაიდა,1,,,,,,,,,
ლაიზა,1,1,,,,,,,,
ლაილა,2,4,4,3,2,2,4,,1,3
ლაილე,,,,1,,1,,1,1,
ლაილე დევიდ,,,,1,,,,,,
ლაიმა,,1,,1,,2,,,,
ლაინა,,,1,1,,,1,,,
ლაის,,,,,,,,,,1
ლაის ჟენევიევ,,,1,,,,,,,
ლაისენ,1,,,,,,,,,
ლაიშა,,,,,,,1,,,
ლალა,11,13,3,8,7,5,7,8,4,5
ლალაზარ,1,,2,3,,1,,3,,4
ლალანდარ,,,,,,,1,,1,
ლალახანუმ,,,,1,,,,,,
ლალე,5,7,4,7,3,4,6,9,6,2
ლალი,52,67,40,43,43,35,31,20,22,20
ლალია,,,,,1,,,,,
ლალიზარ,,,,,,1,,,,
ლალიკა,,2,,,,,,,,
ლალიკო,1,5,2,1,2,8,1,3,5,3
ლალიტა,3,1,1,2,2,1,3,1,1,3
ლალო,1,1,,,1,,1,,1,1
ლალუ,,,,,,,,,1,
ლალუკა,1,,,,,1,,,,1
ლამა,1,,,,,,,,,
ლამან,7,7,7,10,11,8,7,5,2,5
ლამარ,,,,,,,,,,1
ლამარა,6,5,2,8,6,3,4,5,3,
ლამარამარია,,,,,,,1,,,
ლამარი,,,1,,,,,,,
ლამარია,1,,,1,2,,,,,
ლამზირა,2,,,1,,,,,1,
ლამია,13,13,9,5,7,12,6,7,5,2
ლამიე,,,,,,1,1,,1,
ლამინ,,1,,,,,,,,
ლამინა,1,,,,,,,,,
ლამირა,,,1,,,,,,,
ლამიტა,,,,,,,,,,1
ლანა,197,156,143,113,98,86,88,71,52,47
ლანა – ლუდმილა,1,,,,,,,,,
ლანა ასიე,,1,,,,,,,,
ლანა ეკატერინა,1,,,,,,,,,
ლანა მარიამი,,,,,1,,,,,
ლანდა,1,1,,1,,,,,1,1
ლანკა,,,,,1,,,,,
ლანსა,,,,,,,,,1,
ლაჟვარდი,,,,1,,,,,,
ლარა,1,,2,3,4,3,8,3,7,2
ლარა მარია,,,,,,1,,,,
ლარა ჰაჯერ,,,1,,,,,,,
ლარგო,,,,,,1,,,,
ლარინ,,,,,,,,1,,
ლარინა,1,,,,,1,,,,1
ლარის,,,,,1,,,,,
ლარისა,8,11,4,5,7,6,7,8,5,1
ლასუნე,,,,,,,1,,,
ლატავრა,,,1,,,,,,,
ლატივ,,,,,1,,,,,
ლატიფ,4,1,2,2,1,1,,,,
ლატიფა,1,1,2,,1,1,,,1,1
ლატიფე,,,,,,,,1,,
ლაურა,11,11,10,10,5,2,5,5,4,2
ლაური,1,,,,,,,,,
ლაურიტა,,,,,,1,,,,
ლაშა,356,368,308,245,169,181,168,149,102,107
ლაშა    გიორგი,,,,1,,,,,,
ლაშა   გიორგი,1,1,,1,,,,,,
ლაშა  გიორგი,1,,1,1,3,1,1,,1,1
ლაშა – გიორგი,1,2,,,,,,,,
ლაშა  ლიმარ,1,,,,,,,,,
ლაშა გიორგი,7,4,13,12,24,22,28,21,10,9
ლაშა –გიორგი,,1,,,,,,,,
ლაშა- გიორგი,,,,1,,1,,,,
ლაშა– გიორგი,,1,,,,,,,,
ლაშა დავითი,,,,1,,,,,,
ლაშა მათე,,,,,,1,,,,
ლაშაგიორგი,2,,2,3,11,4,2,8,5,8
ლაშა-გიორგი,3,6,5,4,2,3,,,,4
ლაშა–გიორგი,19,14,12,3,,,1,,,
ლაშა–დავითი,,,,1,,,,,,
ლაშა–ნიკოლოზ,,,1,,,,,,,
ლაშარი,,,1,,,,,,,
ლაშქარა,,,,,,1,,,,
ლაჩინ,,,1,1,,1,,1,1,
ლაჩინა,,,1,,,,,1,,
ლეა,3,1,1,6,1,5,3,6,6,6
ლეა  ელენე,1,,,,,,,,,
ლეა დაიმონდ,,,,,,,,,,1
ლეანა,,,,,,,,,,1
ლეანდრა,,,,,,1,,,,
ლეგა,,,,,,,,,,1
ლეგო,,,,1,,,,,,
ლედი,3,4,2,6,4,4,3,2,1,3
ლედი ანი,,,,,,,1,,,
ლედიმარია,,,,1,,,,,,
ლეეჩი,,,,1,,,,1,,
ლევ,1,2,,1,,1,,1,4,4
ლევ ლეონ,,,,,,,1,,,
ლევა,,,1,,,,,,,
ლევან,152,162,154,119,119,119,103,90,80,76
ლევან ამარუ,,,,,,1,,,,
ლევან გედევან,,,,,,1,,,,
ლევან დამიანე,,,,,,,1,,,
ლევან ნიკოლოზ,,,,1,,,,,,
ლევანი,176,169,166,154,147,134,108,114,93,78
ლევანი  საბა,,,,1,,,,,,
ლევანი ლაზარე,,,,,,1,,,,
ლევანი ლუკას,,,,,,,,,,1
ლევანი მათე,,,,,1,,,,,
ლევანიკო,,,1,,1,,3,,1,2
ლევანო,,,,1,,,,,,
ლევანტინი,,1,,,,,,,,
ლევანჩო,,,1,,,,,,,
ლევარსა,1,,,,,,,,,
ლევენთ,1,1,,,,,,,,1
ლევიკ,,,1,,,,,1,,
ლევიკო,,,1,1,,,,1,,1
ლევონ,13,9,13,7,11,10,6,9,10,7
ლევონი,1,,,1,,,,,,
ლეთივე,1,,,,,,,,,
ლეია,,,1,,,,,,,1
ლეილა,42,34,43,39,31,31,44,36,32,28
ლეილა ასენა,,,,,,,,1,,
ლეილა სოფია,,,,,,,,,,1
ლეილან,,1,,,,,,,,
ლეილანურ,,,,,,,,,,1
ლეილი,5,6,2,3,2,2,1,2,1,2
ლეისან,,1,,,,,,,,
ლეკა,,,1,,,,,,,
ლეკო,1,,,,,1,,,,
ლელა,50,45,43,36,24,32,36,21,24,12
ლელაკო,,,,,,,,,,1
ლელა–მარია,,1,,,,,,,,
ლელე,,,1,,,,,,,
ლელი,2,1,2,3,2,2,1,1,,
ლელიო,,,,1,,,,,,1
ლელო,,,,,,,,1,,
ლელუკა,1,1,1,1,2,1,,1,,1
ლემან,1,,2,3,4,3,3,1,1,3
ლემანი,,,,,,,,,,1
ლემინ,,,1,,,,,,,
ლემინი,,,,1,,,,1,,
ლენა,10,8,8,3,7,8,7,7,4,6
ლენარ,,,,,,,1,,,
ლენგინა,,,,,,1,,,,
ლენგო,,1,,,,,,,,
ლენდო,1,,,,,,,,,
ლენი,,,,,,,,1,,1
ლენიკო,,,,,,,,,1,
ლენკა,,,,,1,2,,,,1
ლენკინი,1,,,,,,,,,
ლენუკა,,,,,1,1,,1,1,
ლეო,3,3,3,2,1,1,,2,1,
ლეო სარფი,,,,1,,,,,,
ლეონ,1,1,4,,,1,,4,9,2
ლეონა,,,,,,,,1,1,
ლეონარდ,,,1,,,,1,1,,
ლეონარდ ჯორჯ,,,,,,,,1,,
ლეონარდო,1,,,,,1,1,,2,2
ლეონი,2,,2,1,1,,1,,1,
ლეონია,,,,,,,1,,,
ლეონიდ,,1,,2,,,,,1,1
ლეონიდა,,,,,1,,,,,
ლეონიდას,,,,,,,,2,,
ლეონიდას ისი,,,,,,,,,1,
ლეონიდე,1,1,,,,,1,,,
ლეონიდი,,,,1,,,,1,,
ლეონილა,,,,,,,,,,1
ლეონორა,,1,,,,,,,,
ლერა,,1,,1,2,,2,,1,
ლერი,14,14,15,19,15,13,10,13,18,10
ლერი-გაბრიელი,,,,,,,,1,,
ლერიკა,,,,,1,,,,,
ლერიკო,,,1,,,,,,,1
ლერნიკ,,1,1,2,,,1,,,
ლერნუი,,,,,,,1,,,
ლეროუქს ფრანსოის,,,,,,,,,,1
ლესლი,,,,,,,,1,,
ლეტისია,,,,,2,,,,,
ლეტიცია,,,,,,,2,1,,
ლეფეი,1,,,,,,,,,
ლექსანე,,,,,,,,1,,
ლექსო,47,59,52,33,20,27,30,16,10,6
ლი,,,,,,,,,,1
ლია,68,52,48,37,28,28,31,21,23,11
ლია ლილე,,,1,,,,,,,
ლია ტერი,,,,,,,,1,,
ლიაკო,,1,,,,,1,1,1,1
ლიალია,,,,,,1,,1,,
ლიამ,,,,,,,1,1,1,1
ლიამ   ფილლიპ,,1,,,,,,,,
ლიამ ეკენგ,,,,,,,,,1,
ლიამ მიშელ,,,,,,,,,1,
ლიამ ოსკარ,,,,,,,,,1,
ლიამან,3,,8,1,9,,1,3,3,1
ლია–მარია,,1,,,,,,,,
ლიან,,,,,,1,1,1,,
ლიანა,26,20,25,21,21,20,18,12,17,10
ლიანა მეი,,,,,,,,,1,
ლიანე,1,,,,,,,,,
ლიანნა,,,2,,1,1,,,,2
ლიანუშ,,,,,,,1,,,
ლიბა ზულაინ,,,,,,,,,,1
ლიბბი,,,,,,,,1,,
ლიბბი მარია,,,,,,,,1,,
ლიბი,,,,,,,2,,1,1
ლიბი მაზალ,,,,,,,,,,1
ლიბი რუთ,,,,,,,,,1,
ლიგია,,,,,1,,,,,
ლიდა,3,10,5,2,4,6,2,2,8,3
ლიდი,,1,1,,,,,1,,
ლიდია,2,3,3,3,6,5,3,5,8,3
ლიდია მირაკლ,,,,,,,,1,,
ლიელ,,,,,,,,1,,
ლიელი,,,1,,,,,,1,
ლივ,,,,,,,,,,1
ლივი,,,,,,,,1,1,6
ლივია,3,,1,,1,,1,1,8,10
ლივიანა,,,,,,,,1,,
ლიზა,79,104,96,95,94,128,150,202,290,293
ლიზა  ანნა,,,,,,,,1,,
ლიზა  მარია,,,,,1,,,,,
ლიზა ბარბარე,,,,2,,,,,,
ლიზა მარია,,,,,2,,,,,
ლიზა მიშელ,,,,,,,,,1,
ლიზაბეტ,,,,1,,,,,,
ლიზავეტა,1,,,,,1,,,1,
ლიზამარია,,,,1,,,,,,1
ლიზა-მარია,,,,,,,,1,,
ლიზა–მარია,1,,1,,,,,,,
ლიზი,1724,1742,1567,1208,980,922,831,705,699,515
ლიზი  მარია,,,,,,1,,,,
ლიზი ბარბარე,1,,,,,,,,,
ლიზი ელენე,,,,,,,,,,1
ლიზი ელისაბედ,,,,,,,,1,,
ლიზი ელისაბედი,,,1,,,,,,,
ლიზი-ელისაბედი,,,,1,,,,,,
ლიზიკო,13,12,8,7,8,5,3,3,2,2
ლიზიკო ელისაბედი,,,,,,1,,,,
ლიზი–მარიამი,,1,,,,,,,,
ლიია,,,,,,,,,,1
ლიკა,471,486,388,347,333,294,261,204,194,152
ლიკია,1,,,,,,,,,
ლიკო,,,1,,,,1,,1,
ლიკუნა,1,1,1,1,,1,2,1,1,1
ლიკუნია,,,,,,,,,1,
ლილა,,,1,,,1,,,,
ლილე,61,85,110,129,160,243,356,740,853,942
ლილე მარია,,,,,,,,1,,
ლილე მარიამ,,,,,,,,1,,
ლილე მარიამი,,,,,,1,1,1,,
ლილეანა,,,,,,,1,2,1,3
ლილეანნა,,,,,,,,1,,
ლილეეჯე,,,,,,,,,,1
ლილეო,,,,,,,,,1,
ლილე-რანა,,1,,,,,,,,
ლილი,17,16,17,10,18,7,14,14,18,22
ლილი  მარიამი,,,1,,,,,,,
ლილი  ნენე,,,,,,1,,,,
ლილი ლილიტი,,,,,,,,,,1
ლილი სესილია,,,,1,,,,,,
ლილია,2,4,5,3,7,1,5,4,7,7
ლილიან,,,,,,1,,,1,
ლილიანა,4,14,15,13,14,11,14,17,29,30
ლილიანამარია,,,,,,1,,,,
ლილიანე,,,,,,,,1,,
ლილიანი,,1,,,,,,,,
ლილიანნა,,,,,,1,1,,,
ლილიდა,,,,,,1,,,,
ლილიენი,,,,,,,,,,1
ლილით,8,8,8,4,2,6,2,3,7,4
ლილიკო,2,3,3,4,2,,4,1,,1
ლილიკო ნათია,,,,,1,,,,,
ლილინა,,,,,,1,,,,
ლილინო,,,1,,,,,,,
ლილიტ,2,,1,1,1,1,1,,,2
ლილიტა,,1,,,,,,,,1
ლილლე,,,1,,,,,,,
ლილპარ,,,,,,1,,,,1
ლილუ,4,2,4,10,16,15,31,27,32,22
ლილუ ალექსის,,,,,,,,1,,
ლილუ ეკატერინე,,,,,,,,,1,
ლილუ ელიზაბეთ,,,,,,,,,,1
ლილუ ელიზაბეტი,,,,,,,,1,,
ლილუმარია,,,,,,,1,,,
ლილფარ,,,,,,,,1,,
ლიმა,2,,,,,,1,,,1
ლიმან,,1,1,,,,,,,
ლიმარ,,,,,,1,,,,
ლიმონ,,1,,1,1,,,,,1
ლიმონა,,,,1,,,,,,
ლინ,,,,,,,,,1,
ლინ სი,,,,,,,1,,,
ლინ ხუან,,,,,,,,1,,
ლინა,12,11,11,10,12,11,11,15,14,13
ლინა მარია ქრისტა,,,,,1,,,,,
ლინა სუ,,,,,,,,,1,
ლინამარიამი,,,,,,1,,,,
ლინარა,1,,,,,,,,,
ლინას,,,,,,1,,,,
ლინდა,71,97,65,72,51,58,45,46,35,29
ლინდა გირმა,,,,,,,,1,,
ლინდა ნაზ,,,,,,,,,1,
ლინდი,3,,1,,,,,,1,
ლინე,,,,,,1,,,,2
ლინე ანნა,,,,,,,,,1,
ლინეტა,,,,,,,,2,,
ლინი,,,,,1,,,,,
ლინნა,,,,,,,,,,1
ლიოვ,,,,,,,,1,,
ლიოვა,3,2,2,5,1,2,3,3,1,3
ლიოვიკ,1,,,,,,,,,
ლიოზ,,,,,,,,,,1
ლიორ,,,,,,,1,2,,
ლიორ ესტერ,,,,,,1,,,,
ლიორა,1,,,,,,,,,
ლიპარიტ,,,,,,,1,,,
ლირ ბინა,,,,,,,,,,1
ლირა,,,,,,,,,1,1
ლირონ,,,,1,,,,,,
ლირრი,,,,,,,,,,1
ლისა,,,,,,,,,,3
ლიტა,,,1,1,1,1,,1,1,1
ლიტიცია,,,,1,,,,,,
ლიუბა,,1,,1,,,2,1,,
ლიუდა,,,,1,,,,1,,
ლიუდვიგ,,,1,,,,,,,
ლიუდვიკ,,,,,,2,,,,
ლიუდმილა,1,1,1,2,2,2,1,1,,1
ლიჰი,,,,,,,,,1,
ლიჰი ტამარ,,,,,,,,,1,
ლლოიდ,,1,,,,,,,,
ლოგან ქრისტიან,,,,,,,,,,1
ლოგმან,,1,,,1,,1,,,
ლოდინა,,1,,,,,,,,
ლოვა,3,5,5,5,5,,1,1,,1
ლოვიკ,3,,,,,,,,1,
ლოიდა,,,,,,,,,1,
ლოლა,5,6,3,9,5,11,8,10,19,6
ლოლა  ელენე,,,,,,,,,1,
ლოლაელისაბედი,,,,,,,1,,,
ლოლამარია,1,,,,,,,,,
ლოლი,,,,,,,1,,,
ლოლიდა,,1,,,,,,,,
ლოლიტა,10,8,7,8,7,5,7,5,7,3
ლომერ,,,,,,,,,,1
ლომინი,,,,,,1,,,,
ლომინო,,,,,1,,,,,
ლომისი,,,,,,,,,1,
ლომკაცი,1,,,,,,,,,
ლონგი,,,,,,,,1,,
ლონგინოზ,1,,,1,,,,,,
ლონგინოზი,,,,,,,,1,,
ლონგური,,,1,,,,,,,
ლონდა,12,2,6,4,1,1,1,2,4,
ლონიკ,,,,1,,,,,,
ლორა,1,,2,2,1,,1,,2,1
ლორა ელიზაბეტ,,,,,1,,,,,
ლორენ,,,,,,1,,,1,
ლორენა,3,2,3,2,3,3,2,2,1,
ლორენს,,,,,1,,,,,
ლორენცო,,2,,,,,,,,
ლორეტა,,,,,,2,,,,1
ლორი,,,,,,1,,,,
ლორიკ,,,,,1,,,,,
ლორინა,,,,,,1,,,,
ლორიტა,,1,,,1,,,1,1,
ლოტუს ელისემარიე,,,,,,,,,1,
ლოღმან,2,,1,2,,1,,1,1,
ლუანა,,,1,,,1,2,,,
ლუარა,3,1,1,,,,,1,,1
ლუარსაბ,1,,,,,,1,,,
ლუბა,,2,,2,1,,2,3,1,
ლუბოვ,,2,,1,1,,1,,,
ლუდა,,,,,1,,,,1,
ლუდვიგ,1,2,,1,,,,,,
ლუდვიკი,,,,,,1,,,,
ლუდმილა,3,1,2,,,1,1,1,,1
ლუდმილა – თუთა,,1,,,,,,,,
ლუდმინა,,1,,,,,,,,
ლუდუკი,,,,,,,,,,1
ლუვენია,,,,,1,,,,,
ლუთვი,,1,,,1,1,,,,
ლუთვიარ,,,,,,1,,,,
ლუთვუ,,,,,,1,,1,,
ლუთვუია,,1,,,,,,,,
ლუთუფა,,1,,,,,,,,
ლუთფუ,,,,,1,,,,,
ლუი,,1,,1,1,1,1,1,1,4
ლუიზა,11,7,9,13,4,5,9,5,3,2
ლუიზა ალექსანდრა,,,,,,1,,,,
ლუის,,,1,,,,,,,2
ლუისი,,1,,,,,,1,,1
ლუისიანა,1,,,,,,,,,
ლუისიანგ,,,1,,,,,,,
ლუკ ელლიოტ,,,,,,,,1,,
ლუკ ფრენსის,,,,,,,,,,1
ლუკა,2600,2785,2417,2003,1941,1800,1600,1563,1371,1144
ლუკა    ჯამალ,,,,,,,1,,,
ლუკა ავთანდილ,,,1,,,,,,,
ლუკა ალექსანდრე,,,,1,,,,,,
ლუკა ანდრია,,,,,,,,,,1
ლუკა ასურელი,,1,,,,,,,,
ლუკა ბათა,,,1,,,,,,,
ლუკა ბენატი,,,,,1,,,,,
ლუკა ბურსელი,,,,,,,,,1,
ლუკა გაბრიელ,,,,,,,,,1,
